Start,Connection,Database,Query,Time (secs),Columns,Records
14:06:54,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT name AS 'Property', value AS 'Value'  FROM fn_listextendedproperty( DEFAULT, 'Schema', N'dbo', DEFAULT, DEFAULT, DEFAULT, DEFAULT )",0.042,2,0
14:06:55,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.objects AS sys_o INNER JOIN sys.schemas AS sys_sch ON sys_o.schema_id = sys_sch.schema_id WHERE ( sys_o.type = 'U' OR  sys_o.type = 'S' ) AND sys_sch.name = N'dbo'",0.047,1,1
14:06:55,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.objects AS sys_obj INNER JOIN sys.schemas AS sys_sch ON sys_obj.schema_id = sys_sch.schema_id WHERE sys_obj.type IN ('FN', 'IF', 'TF', 'P') AND sys_sch.name = N'dbo'",0.045,1,1
14:06:55,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.foreign_keys AS sys_fk INNER JOIN sys.tables AS sys_t 	ON sys_fk.parent_object_id = sys_t.object_id INNER JOIN sys.schemas AS sys_sch ON sys_t.schema_id = sys_sch.schema_id AND sys_sch.name = N'dbo'",0.043,1,1
14:06:55,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.sequences AS sys_seq WHERE SCHEMA_NAME ( sys_seq.schema_id ) = N'dbo'",0.053,1,1
14:06:55,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.synonyms AS sys_syn WHERE SCHEMA_NAME ( sys_syn.schema_id ) = N'dbo'",0.050,1,1
14:06:55,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.types AS sys_type JOIN sys.types AS system_type ON sys_type.system_type_id = system_type.system_type_id WHERE sys_type.is_user_defined = 1 AND system_type.is_user_defined <> 1 AND SCHEMA_NAME ( sys_type.schema_id ) = N'dbo'",0.043,1,1
14:06:55,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.views WHERE SCHEMA_NAME( schema_id ) = N'dbo'",0.050,1,1
14:06:55,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT sys_o.name AS 'Table',  	sys_o.object_id AS ID,  	sys_sch.name AS 'Schema',  	sys_o.type AS 'Type',  	sys_t.create_date,  	sys_t.modify_date,  	sys_idx.name AS 'PK_NAME'  FROM sys.objects AS sys_o  	INNER JOIN sys.schemas AS sys_sch ON sys_o.schema_id = sys_sch.schema_id  	LEFT JOIN sys.tables AS sys_t  on sys_t.object_id = sys_o.object_id  	LEFT JOIN sys.indexes AS sys_idx ON sys_t.object_id = sys_idx.object_id AND sys_idx.is_primary_key = 1   WHERE ( sys_o.type = 'U' OR  sys_o.type = 'S' )  AND sys_sch.name = N'dbo'",0.059,7,10
14:06:56,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT        sys_col.name AS 'Column',        sys_col.column_id AS ID,        sys_col.max_length,        sys_col.precision,        sys_col.scale,        sys_col.collation_name,        sys_col.is_nullable,        sys_col.is_identity,        sys_type.name AS 'TypeName',        sys_type.is_user_defined AS 'IsUDT',        SCHEMA_NAME ( sys_type.schema_id ) AS 'TypeSchema',        object_definition( sys_col.default_object_id ) AS 'Default',        sys_def.name AS 'Default_Name'  FROM sys.columns sys_col        JOIN sys.objects sys_obj ON sys_col.object_id = sys_obj.object_id        JOIN sys.tables sys_t ON sys_t.object_id = sys_obj.object_id        JOIN sys.schemas sys_sch ON sys_t.schema_id = sys_sch.schema_id        JOIN sys.types sys_type ON sys_col.user_type_id = sys_type.user_type_id        LEFT JOIN sys.default_constraints AS sys_def ON sys_def.parent_object_id = sys_t.object_id AND sys_def.parent_column_id = sys_col.column_id  WHERE sys_obj.type = 'U'  AND sys_col.is_computed = 0  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Company' AND sys_col.is_computed = 0",0.057,13,5
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT name AS 'Property', value AS 'Value'  FROM fn_listextendedproperty( DEFAULT, 'Schema', N'dbo', 'Table', N'City', DEFAULT, DEFAULT )",0.042,2,0
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT  COL_NAME( sys_idx_col.object_id, sys_idx_col.column_id ) AS ColumnName  FROM    sys.indexes AS sys_i  INNER JOIN sys.index_columns AS sys_idx_col    ON  sys_i.object_id = sys_idx_col.object_id    AND sys_i.index_id  = sys_idx_col.index_id  WHERE  sys_idx_col.OBJECT_ID = '677577452' AND sys_i.is_primary_key = 1",0.041,1,1
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT        sys_col.name AS 'Column',        sys_col.column_id AS ID,        sys_col.max_length,        sys_col.precision,        sys_col.scale,        sys_col.collation_name,        sys_col.is_nullable,        sys_col.is_identity,        sys_type.name AS 'TypeName',        sys_type.is_user_defined AS 'IsUDT',        SCHEMA_NAME ( sys_type.schema_id ) AS 'TypeSchema',        object_definition( sys_col.default_object_id ) AS 'Default',        sys_def.name AS 'Default_Name'  FROM sys.columns sys_col        JOIN sys.objects sys_obj ON sys_col.object_id = sys_obj.object_id        JOIN sys.tables sys_t ON sys_t.object_id = sys_obj.object_id        JOIN sys.schemas sys_sch ON sys_t.schema_id = sys_sch.schema_id        JOIN sys.types sys_type ON sys_col.user_type_id = sys_type.user_type_id        LEFT JOIN sys.default_constraints AS sys_def ON sys_def.parent_object_id = sys_t.object_id AND sys_def.parent_column_id = sys_col.column_id  WHERE sys_obj.type = 'U'  AND sys_col.is_computed = 0  AND sys_sch.name = N'dbo'  AND sys_t.name = N'City' AND sys_col.is_computed = 0",0.056,13,3
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.check_constraints AS sys_check  INNER JOIN sys.schemas AS sys_sch ON sys_check.schema_id = sys_sch.schema_id  INNER JOIN sys.tables AS sys_t ON sys_check.parent_object_id = sys_t.object_id  AND sys_sch.name = N'dbo'  AND sys_t.name = N'City'",0.044,1,1
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.indexes sys_idx  INNER JOIN sys.tables sys_t ON sys_idx.object_id = sys_t.object_id  INNER JOIN sys.objects sys_obj ON sys_obj.object_id = sys_idx.object_id  INNER JOIN sys.schemas AS sys_sch ON sys_t.schema_id = sys_sch.schema_id  AND sys_idx.index_id > 0  AND sys_obj.type ='U'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'City'",0.044,1,1
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.foreign_keys AS sys_fk  INNER JOIN sys.tables AS sys_t 	ON sys_fk.parent_object_id = sys_t.object_id  INNER JOIN sys.schemas AS sys_sch ON sys_t.schema_id = sys_sch.schema_id  AND sys_sch.name = N'dbo'AND ( OBJECT_NAME( sys_fk.parent_object_id ) = N'City' OR OBJECT_NAME ( sys_fk.referenced_object_id ) = N'City' )",0.046,1,1
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*)  FROM sys.columns sys_col  JOIN sys.objects sys_obj ON sys_col.object_id = sys_obj.object_id  JOIN sys.tables sys_t ON sys_t.object_id = sys_obj.object_id  JOIN sys.schemas sys_sch ON sys_t.schema_id = sys_sch.schema_id  JOIN sys.types sys_type ON sys_col.system_type_id = sys_type.user_type_id  WHERE sys_obj.type = 'U'  AND sys_col.is_computed = 1  AND sys_sch.name = N'dbo'  AND sys_t.name = N'City'",0.040,1,1
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.objects AS sys_o  INNER JOIN sys.tables sys_t ON sys_o.parent_object_id = sys_t.object_id  INNER JOIN sys.schemas sys_sch ON sys_t.schema_id = sys_sch.schema_id  INNER JOIN sys.triggers sys_tr ON sys_o.object_id = sys_tr.object_id  WHERE sys_o.type = 'TR'  AND sys_tr.parent_class = 1 -- DML Triggers  AND sys_sch.name = N'dbo'  AND sys_t.name = N'City'",0.045,1,1
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.indexes sys_idx  JOIN sys.tables sys_t ON sys_idx.object_id = sys_t.object_id  JOIN sys.objects sys_obj ON sys_obj.object_id = sys_idx.object_id  JOIN sys.schemas AS sys_sch ON sys_t.schema_id = sys_sch.schema_id  WHERE sys_idx.is_unique_constraint = 1  AND sys_obj.type ='U'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'City'",0.041,1,1
14:07:15,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT ( CASE WHEN Stat.EstimateCount > 1000 THEN 1 ELSE 0 END ) AS IsEstimate, ( CASE WHEN Stat.EstimateCount > 1000 THEN Stat.EstimateCount ELSE ( SELECT COUNT(*) FROM [dbo].[City] ) END ) AS RecordCount FROM ( SELECT CAST( p.rows AS float ) AS EstimateCount FROM sys.tables AS tbl INNER JOIN sys.indexes AS idx ON idx.object_id = tbl.object_id and idx.index_id < 2 INNER JOIN sys.partitions AS p ON p.object_id = CAST( tbl.object_id AS int ) AND p.index_id=idx.index_id WHERE ( ( tbl.name = N'City' AND SCHEMA_NAME( tbl.schema_id ) = N'dbo' ) ) ) Stat",0.043,2,1
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT name AS 'Property', value AS 'Value'  FROM fn_listextendedproperty( DEFAULT, 'Schema', N'dbo', 'Table', N'Company', DEFAULT, DEFAULT )",0.054,2,0
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT  COL_NAME( sys_idx_col.object_id, sys_idx_col.column_id ) AS ColumnName  FROM    sys.indexes AS sys_i  INNER JOIN sys.index_columns AS sys_idx_col    ON  sys_i.object_id = sys_idx_col.object_id    AND sys_i.index_id  = sys_idx_col.index_id  WHERE  sys_idx_col.OBJECT_ID = '613577224' AND sys_i.is_primary_key = 1",0.043,1,1
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.check_constraints AS sys_check  INNER JOIN sys.schemas AS sys_sch ON sys_check.schema_id = sys_sch.schema_id  INNER JOIN sys.tables AS sys_t ON sys_check.parent_object_id = sys_t.object_id  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Company'",0.044,1,1
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.indexes sys_idx  INNER JOIN sys.tables sys_t ON sys_idx.object_id = sys_t.object_id  INNER JOIN sys.objects sys_obj ON sys_obj.object_id = sys_idx.object_id  INNER JOIN sys.schemas AS sys_sch ON sys_t.schema_id = sys_sch.schema_id  AND sys_idx.index_id > 0  AND sys_obj.type ='U'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Company'",0.047,1,1
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.foreign_keys AS sys_fk  INNER JOIN sys.tables AS sys_t 	ON sys_fk.parent_object_id = sys_t.object_id  INNER JOIN sys.schemas AS sys_sch ON sys_t.schema_id = sys_sch.schema_id  AND sys_sch.name = N'dbo'AND ( OBJECT_NAME( sys_fk.parent_object_id ) = N'Company' OR OBJECT_NAME ( sys_fk.referenced_object_id ) = N'Company' )",0.046,1,1
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*)  FROM sys.columns sys_col  JOIN sys.objects sys_obj ON sys_col.object_id = sys_obj.object_id  JOIN sys.tables sys_t ON sys_t.object_id = sys_obj.object_id  JOIN sys.schemas sys_sch ON sys_t.schema_id = sys_sch.schema_id  JOIN sys.types sys_type ON sys_col.system_type_id = sys_type.user_type_id  WHERE sys_obj.type = 'U'  AND sys_col.is_computed = 1  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Company'",0.040,1,1
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.objects AS sys_o  INNER JOIN sys.tables sys_t ON sys_o.parent_object_id = sys_t.object_id  INNER JOIN sys.schemas sys_sch ON sys_t.schema_id = sys_sch.schema_id  INNER JOIN sys.triggers sys_tr ON sys_o.object_id = sys_tr.object_id  WHERE sys_o.type = 'TR'  AND sys_tr.parent_class = 1 -- DML Triggers  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Company'",0.042,1,1
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.indexes sys_idx  JOIN sys.tables sys_t ON sys_idx.object_id = sys_t.object_id  JOIN sys.objects sys_obj ON sys_obj.object_id = sys_idx.object_id  JOIN sys.schemas AS sys_sch ON sys_t.schema_id = sys_sch.schema_id  WHERE sys_idx.is_unique_constraint = 1  AND sys_obj.type ='U'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Company'",0.042,1,1
14:07:16,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT ( CASE WHEN Stat.EstimateCount > 1000 THEN 1 ELSE 0 END ) AS IsEstimate, ( CASE WHEN Stat.EstimateCount > 1000 THEN Stat.EstimateCount ELSE ( SELECT COUNT(*) FROM [dbo].[Company] ) END ) AS RecordCount FROM ( SELECT CAST( p.rows AS float ) AS EstimateCount FROM sys.tables AS tbl INNER JOIN sys.indexes AS idx ON idx.object_id = tbl.object_id and idx.index_id < 2 INNER JOIN sys.partitions AS p ON p.object_id = CAST( tbl.object_id AS int ) AND p.index_id=idx.index_id WHERE ( ( tbl.name = N'Company' AND SCHEMA_NAME( tbl.schema_id ) = N'dbo' ) ) ) Stat",0.041,2,1
14:07:19,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT sys_fk.name AS 'FKName',     OBJECT_NAME( sys_fk.parent_object_id ) AS ChildTable,     OBJECT_NAME ( sys_fk.referenced_object_id ) AS ParentTable,     sys_sch_c.name AS 'Child Schema',     sys_sch_p.name AS 'Parent Schema',     sys_fk.is_disabled,     sys_fk.is_not_for_replication,     sys_fk.delete_referential_action_desc AS DeleteRule,     sys_fk.update_referential_action_desc AS UpdateRule,      (          SELECT              COL_NAME( sys_fk_col_fk.parent_object_id, sys_fk_col_fk.parent_column_id ) + ','          FROM sys.foreign_keys AS sys_fk_fk              INNER JOIN sys.foreign_key_columns AS sys_fk_col_fk ON sys_fk_fk.OBJECT_ID = sys_fk_col_fk.constraint_object_id          WHERE sys_fk_fk.object_id = sys_fk.object_id          FOR XML PATH('')      ) AS 'FK_Fields',      (          SELECT              COL_NAME( sys_fk_col_pk.referenced_object_id , sys_fk_col_pk.referenced_column_id ) + ','          FROM sys.foreign_keys AS sys_fk_fk              INNER JOIN sys.foreign_key_columns AS sys_fk_col_pk ON sys_fk_fk.OBJECT_ID = sys_fk_col_pk.constraint_object_id          WHERE sys_fk_fk.object_id = sys_fk.object_id          FOR XML PATH('')      ) AS 'PK_Fields'     FROM sys.foreign_keys AS sys_fk         INNER JOIN sys.tables AS sys_t_c 	ON sys_fk.parent_object_id = sys_t_c.object_id         INNER JOIN sys.schemas AS sys_sch_c ON sys_t_c.schema_id = sys_sch_c.schema_id         INNER JOIN sys.tables AS sys_t_p 	ON sys_fk.referenced_object_id = sys_t_p.object_id         INNER JOIN sys.schemas AS sys_sch_p ON sys_sch_p.schema_id = sys_t_p.schema_id     WHERE ( sys_sch_c.name = N'dbo' OR sys_sch_p.name = N'dbo' )",0.051,11,11
14:07:20,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT name AS 'Property', value AS 'Value'  FROM fn_listextendedproperty( DEFAULT, 'Schema', N'dbo', 'Table', N'Company', 'Constraint', N'lnk_City_Company' )",0.046,2,0
14:07:22,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT    sys_kc.name AS 'Unique',    sys_kc.object_id AS 'ID',    sys_kc.unique_index_id AS 'IndexID'  FROM sys.key_constraints sys_kc  JOIN sys.tables sys_t ON sys_kc.parent_object_id = sys_t.object_id  JOIN sys.schemas AS sys_sch ON sys_kc.schema_id = sys_sch.schema_id  WHERE sys_kc.type = 'UQ'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Contact'  ",0.051,3,0
14:07:22,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT    sys_kc.name AS 'Unique',    sys_kc.object_id AS 'ID',    sys_kc.unique_index_id AS 'IndexID'  FROM sys.key_constraints sys_kc  JOIN sys.tables sys_t ON sys_kc.parent_object_id = sys_t.object_id  JOIN sys.schemas AS sys_sch ON sys_kc.schema_id = sys_sch.schema_id  WHERE sys_kc.type = 'UQ'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Driver'  ",0.042,3,0
14:07:22,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT    sys_kc.name AS 'Unique',    sys_kc.object_id AS 'ID',    sys_kc.unique_index_id AS 'IndexID'  FROM sys.key_constraints sys_kc  JOIN sys.tables sys_t ON sys_kc.parent_object_id = sys_t.object_id  JOIN sys.schemas AS sys_sch ON sys_kc.schema_id = sys_sch.schema_id  WHERE sys_kc.type = 'UQ'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Warehouse'  ",0.043,3,0
14:07:22,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT    sys_kc.name AS 'Unique',    sys_kc.object_id AS 'ID',    sys_kc.unique_index_id AS 'IndexID'  FROM sys.key_constraints sys_kc  JOIN sys.tables sys_t ON sys_kc.parent_object_id = sys_t.object_id  JOIN sys.schemas AS sys_sch ON sys_kc.schema_id = sys_sch.schema_id  WHERE sys_kc.type = 'UQ'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Shipment'  ",0.043,3,0
14:07:22,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT    sys_kc.name AS 'Unique',    sys_kc.object_id AS 'ID',    sys_kc.unique_index_id AS 'IndexID'  FROM sys.key_constraints sys_kc  JOIN sys.tables sys_t ON sys_kc.parent_object_id = sys_t.object_id  JOIN sys.schemas AS sys_sch ON sys_kc.schema_id = sys_sch.schema_id  WHERE sys_kc.type = 'UQ'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Refuel'  ",0.046,3,0
14:07:22,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT    sys_kc.name AS 'Unique',    sys_kc.object_id AS 'ID',    sys_kc.unique_index_id AS 'IndexID'  FROM sys.key_constraints sys_kc  JOIN sys.tables sys_t ON sys_kc.parent_object_id = sys_t.object_id  JOIN sys.schemas AS sys_sch ON sys_kc.schema_id = sys_sch.schema_id  WHERE sys_kc.type = 'UQ'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Transaction'  ",0.044,3,0
14:07:44,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT name AS 'Property', value AS 'Value'  FROM fn_listextendedproperty( DEFAULT, 'Schema', N'dbo', 'Table', N'Contact', 'Constraint', N'lnk_Company_Contact' )",0.085,2,0
14:07:48,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT        sys_col.name AS 'Column',        sys_col.column_id AS ID,        sys_col.max_length,        sys_col.precision,        sys_col.scale,        sys_col.collation_name,        sys_col.is_nullable,        sys_col.is_identity,        sys_type.name AS 'TypeName',        sys_type.is_user_defined AS 'IsUDT',        SCHEMA_NAME ( sys_type.schema_id ) AS 'TypeSchema',        object_definition( sys_col.default_object_id ) AS 'Default',        sys_def.name AS 'Default_Name'  FROM sys.columns sys_col        JOIN sys.objects sys_obj ON sys_col.object_id = sys_obj.object_id        JOIN sys.tables sys_t ON sys_t.object_id = sys_obj.object_id        JOIN sys.schemas sys_sch ON sys_t.schema_id = sys_sch.schema_id        JOIN sys.types sys_type ON sys_col.user_type_id = sys_type.user_type_id        LEFT JOIN sys.default_constraints AS sys_def ON sys_def.parent_object_id = sys_t.object_id AND sys_def.parent_column_id = sys_col.column_id  WHERE sys_obj.type = 'U'  AND sys_col.is_computed = 0  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Contact' AND sys_col.is_computed = 0",0.052,13,6
14:07:48,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT        sys_col.name AS 'Method',        sys_col.column_id AS ID,        sys_col.max_length,        sys_col.precision,        sys_col.scale,        sys_col.collation_name,        sys_col.is_nullable,        sys_col.is_persisted,        sys_col.definition,        sys_type.name AS 'UserType',        sys_def.name AS 'Default_Name'  FROM sys.computed_columns sys_col        JOIN sys.objects sys_obj ON sys_col.object_id = sys_obj.object_id        JOIN sys.tables sys_t ON sys_t.object_id = sys_obj.object_id        JOIN sys.schemas sys_sch ON sys_t.schema_id = sys_sch.schema_id        JOIN sys.types sys_type ON sys_col.system_type_id = sys_type.user_type_id        LEFT JOIN sys.default_constraints AS sys_def ON sys_def.parent_object_id = sys_t.object_id AND sys_def.parent_column_id = sys_col.column_id  WHERE sys_obj.type = 'U'  AND sys_sch.name = N'dbo'  AND sys_t.name = N'Contact'",0.044,11,0
14:07:48,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT  COL_NAME( sys_idx_col.object_id, sys_idx_col.column_id ) AS ColumnName  FROM    sys.indexes AS sys_i  INNER JOIN sys.index_columns AS sys_idx_col    ON  sys_i.object_id = sys_idx_col.object_id    AND sys_i.index_id  = sys_idx_col.index_id  WHERE  sys_idx_col.OBJECT_ID = '757577737' AND sys_i.is_primary_key = 1",0.045,1,1
14:08:21,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT name AS 'Property', value AS 'Value'  FROM fn_listextendedproperty( DEFAULT, 'Schema', N'dbo', 'Table', N'Contact', DEFAULT, DEFAULT )",0.047,2,0
